"车牌号","所属公司","所属区域","设备","营运开始时间","营运结束时间","设备编号","GPS经度","GPS纬度","速度","GPS时间","营运状态"
"苏MC1143","泰州联运","姜堰区","2346922426","2018-01-21 00:00:00.0","2019-12-06 00:00:00.0","328","120.163836","32.839376","0.0","2024-08-02 15:31:40.0000","载客"
"苏MX3294","泰州公交","泰兴市","2549972386","2021-08-08 00:00:00.0","2022-07-07 00:00:00.0","953","119.949188","33.065715","15.3","2024-08-02 14:05:14.0000","空车"
"苏MA6105","泰州新运","姜堰区","7247886041","2023-08-28 00:00:00.0","1900-01-01 00:00:00.0","561","119.841419","33.05644","0.0","2024-08-02 19:17:49.0000","载客"
"苏MJ2001","泰州宏运","姜堰区","4459716271","2021-01-11 00:00:00.0","2024-07-22 00:00:00.0","821","120.190387","33.095681","0.0","2024-08-02 10:35:48.0000","空车"
"苏MG5903","泰州公交","医药高新区","2840877826","2023-03-03 00:00:00.0","2024-06-20 00:00:00.0","719","119.749856","33.076032","30.8","2024-08-02 13:02:08.0000","空车"
"苏MA9234","泰州顺达","泰兴市","5471357886","2023-11-10 00:00:00.0","2023-07-04 00:00:00.0","788","120.079701","32.974974","31.8","2024-08-02 16:54:21.0000","空车"
"苏MT2794","泰州顺达","医药高新区","6110572428","2021-10-22 00:00:00.0","2022-03-03 00:00:00.0","634","119.879232","32.444895","0.0","2024-08-02 12:44:19.0000","空车"
"苏ML3876","泰州联运","兴化市","9051829827","2020-11-18 00:00:00.0","1900-01-01 00:00:00.0","462","119.929785","32.910324","27.0","2024-08-02 15:15:31.0000","载客"
"苏MG9770","泰州宏运","医药高新区","6944142262","2020-10-10 00:00:00.0","2022-01-27 00:00:00.0","684","120.199687","32.641697","35.3","2024-08-02 23:19:40.0000","空车"
"苏MF8124","泰州通达","医药高新区","3656086594","2022-05-22 00:00:00.0","2024-11-27 00:00:00.0","150","120.003532","33.039088","0.0","2024-08-02 09:36:55.0000","载客"
"苏MZ1638","泰州交运","靖江市","6611903015","2019-03-26 00:00:00.0","2021-09-17 00:00:00.0","945","119.765706","32.691889","46.3","2024-08-02 20:41:02.0000","载客"
"苏MW7895","泰州顺达","医药高新区","8872207630","2023-12-22 00:00:00.0","2024-02-26 00:00:00.0","414","120.181447","32.492136","0.0","2024-08-02 19:16:58.0000","停运"
"苏MW9659","泰州快运","兴化市","2995226582","2018-10-18 00:00:00.0","2022-04-21 00:00:00.0","74","120.170146","33.057934","0.0","2024-08-02 09:07:29.0000","空车"
"苏MT5009","泰州出租","海陵区","1218179599","2022-03-13 00:00:00.0","2024-12-23 00:00:00.0","978","119.852182","33.157009","0.0","2024-08-02 20:19:41.0000","空车"
"苏MA6105","泰州宏运","靖江市","3271782991","2021-08-08 00:00:00.0","2021-11-12 00:00:00.0","567","120.175761","32.726493","0.0","2024-08-02 14:46:09.0000","空车"
"苏MM1230","泰州公交","泰兴市","7858164010","2019-10-07 00:00:00.0","1900-01-01 00:00:00.0","793","120.019746","32.569685","32.5","2024-08-02 05:17:12.0000","空车"
"苏MK2694","泰州出租","医药高新区","9950486177","2020-03-04 00:00:00.0","2020-03-01 00:00:00.0","376","119.701418","33.120425","37.2","2024-08-02 14:52:55.0000","空车"
"苏ME1603","泰州出租","泰兴市","2346922426","2020-09-19 00:00:00.0","1900-01-01 00:00:00.0","525","119.756825","32.736768","0.0","2024-08-02 14:01:11.0000","载客"
"苏MA2885","泰州宏运","泰兴市","9344011888","2023-02-16 00:00:00.0","2024-02-03 00:00:00.0","339","119.730413","33.171221","0.0","2024-08-02 21:02:46.0000","载客"
"苏MN4038","泰州顺达","兴化市","8449766493","2018-12-04 00:00:00.0","2023-09-24 00:00:00.0","896","119.965278","33.195702","0.0","2024-08-02 05:17:39.0000","载客"
"苏MQ3085","泰州宏运","兴化市","2405969000","2020-03-22 00:00:00.0","2020-02-27 00:00:00.0","97","119.747543","32.732792","0.0","2024-08-02 12:56:14.0000","载客"
"苏MQ6225","泰州新运","海陵区","1480494664","2020-11-25 00:00:00.0","2020-05-20 00:00:00.0","329","119.980793","32.869172","0.0","2024-08-02 12:47:47.0000","空车"
"苏MG8024","泰州联运","医药高新区","5146780827","2022-04-26 00:00:00.0","2024-10-20 00:00:00.0","701","120.122687","32.486575","0.0","2024-08-02 06:32:13.0000","交接班"
