"车牌号","所属公司","所属区域","设备","营运开始时间","营运结束时间","设备编号","GPS经度","GPS纬度","速度","GPS时间","营运状态"
"苏MA2163","泰州市宏运出租车有限公司","高港区","6231117883","2021-03-05 00:00:00.0","1900-01-01 00:00:00.0","827","119.9033","32.281305","24.7","2024-08-02 22:50:36.0000","载客"
"苏MX2876","泰州市银盾出租车有限公司","姜堰区","6928691380","2022-09-04 00:00:00.0","1900-01-01 00:00:00.0","497","120.051578","32.538885","0.0","2024-08-02 07:55:01.0000","空车"
"苏MU7543","泰州市宏运出租车有限公司","泰兴市","1614685938","2019-01-16 00:00:00.0","1900-01-01 00:00:00.0","446","120.091613","32.430356","40.4","2024-08-02 16:32:37.0000","载客"
"苏MY2169","泰州市银盾出租车有限公司","海陵区","4070964768","2023-09-10 00:00:00.0","1900-01-01 00:00:00.0","629","119.923702","32.458833","22.8","2024-08-02 13:58:28.0000","空车"
"苏MX9702","泰州市祥云出租车有限公司","靖江市","7196439534","2021-07-11 00:00:00.0","1900-01-01 00:00:00.0","393","120.11371","32.689669","0.0","2024-08-02 07:44:07.0000","载客"
"苏MN5386","泰州市公共交通有限公司","海陵区","3693985578","2021-11-04 00:00:00.0","1900-01-01 00:00:00.0","904","119.936824","32.501716","19.7","2024-08-02 15:30:04.0000","载客"
"苏MB1821","泰州市银盾出租车有限公司","高港区","5243939720","2023-06-04 00:00:00.0","1900-01-01 00:00:00.0","597","119.945674","32.221274","0.0","2024-08-02 18:46:03.0000","空车"
"苏MP9976","泰州市飞达出租车有限公司","兴化市","5419627962","2019-03-28 00:00:00.0","1900-01-01 00:00:00.0","683","119.790208","32.587213","12.7","2024-08-02 17:54:35.0000","空车"
"苏MY7924","泰州市宏运出租车有限公司","海陵区","2591589823","2023-10-03 00:00:00.0","2023-03-25 00:00:00.0","642","119.891019","32.481755","0.0","2024-08-02 07:47:40.0000","空车"
"苏MM6000","泰州市飞达出租车有限公司","高港区","3734252963","2023-08-17 00:00:00.0","1900-01-01 00:00:00.0","56","119.931235","32.221557","0.0","2024-08-02 15:17:28.0000","空车"
"苏ME2679","泰州市金鹰出租车有限公司","姜堰区","9908115095","2022-03-05 00:00:00.0","1900-01-01 00:00:00.0","730","120.078945","32.556416","0.0","2024-08-02 11:38:03.0000","载客"
"苏MZ3546","泰州市祥云出租车有限公司","姜堰区","8299146480","2022-10-13 00:00:00.0","1900-01-01 00:00:00.0","437","120.095975","32.523622","0.0","2024-08-02 13:53:42.0000","空车"
"苏MU2290","泰州市银盾出租车有限公司","高港区","1678500147","2021-12-11 00:00:00.0","1900-01-01 00:00:00.0","807","119.923568","32.210586","0.0","2024-08-02 07:01:20.0000","空车"
"苏MY7291","泰州市九龙出租车有限公司","海陵区","4566852761","2020-03-20 00:00:00.0","1900-01-01 00:00:00.0","787","119.937326","32.500917","34.7","2024-08-02 07:40:07.0000","空车"
"苏MN9977","泰州市飞达出租车有限公司","高港区","6369130994","2021-03-15 00:00:00.0","1900-01-01 00:00:00.0","462","119.968205","32.268113","29.7","2024-08-02 08:49:40.0000","空车"
"苏MD2753","泰州市公共交通有限公司","高港区","9467483275","2019-10-20 00:00:00.0","1900-01-01 00:00:00.0","483","119.916874","32.203761","0.0","2024-08-02 17:37:03.0000","载客"
"苏MZ4295","泰州市飞达出租车有限公司","高港区","4264134512","2019-09-21 00:00:00.0","1900-01-01 00:00:00.0","263","119.925052","32.295772","46.7","2024-08-02 12:51:36.0000","停运"
"苏MS1009","泰州市银盾出租车有限公司","海陵区","7475684019","2021-02-11 00:00:00.0","1900-01-01 00:00:00.0","704","119.927523","32.504213","0.0","2024-08-02 23:33:33.0000","载客"
"苏MW5889","泰州市公共交通有限公司","姜堰区","5975196341","2019-05-18 00:00:00.0","1900-01-01 00:00:00.0","820","120.081023","32.571675","21.6","2024-08-02 09:46:54.0000","空车"
"苏MQ7790","泰州市祥云出租车有限公司","海陵区","2465576748","2022-04-08 00:00:00.0","2022-02-10 00:00:00.0","874","119.892618","32.475382","0.0","2024-08-02 17:42:44.0000","停运"
"苏MQ7790","泰州市银盾出租车有限公司","姜堰区","6204041308","2023-03-24 00:00:00.0","1900-01-01 00:00:00.0","430","120.065425","32.539725","0.0","2024-08-02 13:34:53.0000","载客"
"苏MB9883","泰州市九龙出租车有限公司","海陵区","9035194895","2023-08-15 00:00:00.0","1900-01-01 00:00:00.0","806","119.934906","32.517592","33.9","2024-08-02 15:15:28.0000","载客"
"苏MC6539","泰州市金鹰出租车有限公司","姜堰区","8387664437","2019-05-03 00:00:00.0","1900-01-01 00:00:00.0","289","120.105454","32.567412","0.0","2024-08-02 13:26:10.0000","交接班"
"苏MW9346","泰州市九龙出租车有限公司","高港区","2591589823","2020-07-03 00:00:00.0","1900-01-01 00:00:00.0","38","119.882667","32.234959","0.0","2024-08-02 19:09:53.0000","载客"
"苏MM2127","泰州市苏中出租车有限公司","海陵区","4405620755","2022-10-01 00:00:00.0","2022-05-07 00:00:00.0","865","119.928725","32.508083","0.0","2024-08-02 19:53:45.0000","载客"
"苏MW4185","泰州市公共交通有限公司","海陵区","4747699292","2022-02-04 00:00:00.0","1900-01-01 00:00:00.0","521","119.883342","32.471081","0.0","2024-08-02 14:46:38.0000","载客"
"苏MZ5315","泰州市祥云出租车有限公司","姜堰区","6726515966","2019-09-18 00:00:00.0","1900-01-01 00:00:00.0","529","120.091657","32.504056","7.1","2024-08-02 15:36:15.0000","停运"
"苏MM3426","泰州市金鹰出租车有限公司","海陵区","7628981661","2021-03-02 00:00:00.0","1900-01-01 00:00:00.0","356","119.904136","32.505196","20.7","2024-08-02 11:30:02.0000","载客"
"苏ML7592","泰州市苏中出租车有限公司","姜堰区","5184564874","2019-06-10 00:00:00.0","1900-01-01 00:00:00.0","844","120.053698","32.574361","0.0","2024-08-02 17:43:29.0000","载客"
"苏MY6107","泰州市银盾出租车有限公司","姜堰区","7808938880","2022-12-15 00:00:00.0","2023-06-06 00:00:00.0","518","120.083192","32.56658","0.0","2024-08-02 09:48:41.0000","空车"
"苏MR4502","泰州市祥云出租车有限公司","高港区","9916336966","2021-11-10 00:00:00.0","1900-01-01 00:00:00.0","627","119.898046","32.29951","0.0","2024-08-02 10:51:33.0000","空车"
"苏MB2776","泰州市银盾出租车有限公司","医药高新区","6923301988","2021-09-26 00:00:00.0","1900-01-01 00:00:00.0","173","120.190014","32.592189","31.5","2024-08-02 08:28:22.0000","载客"
"苏MN9785","泰州市苏中出租车有限公司","海陵区","5510938155","2022-06-12 00:00:00.0","1900-01-01 00:00:00.0","88","119.905351","32.495161","30.6","2024-08-02 07:38:43.0000","空车"
"苏MY8973","泰州市公共交通有限公司","姜堰区","2825957977","2022-04-20 00:00:00.0","1900-01-01 00:00:00.0","948","120.088699","32.529904","11.5","2024-08-02 13:25:20.0000","空车"
"苏MY2169","泰州市苏中出租车有限公司","高港区","1614685938","2019-09-18 00:00:00.0","1900-01-01 00:00:00.0","317","119.948193","32.208779","36.4","2024-08-02 08:08:54.0000","空车"
"苏MC9727","泰州市宏运出租车有限公司","海陵区","7077131430","2021-08-26 00:00:00.0","2022-10-03 00:00:00.0","77","119.889721","32.464069","5.7","2024-08-02 16:59:44.0000","载客"
"苏ML7592","泰州市祥云出租车有限公司","高港区","5354747485","2022-11-17 00:00:00.0","1900-01-01 00:00:00.0","909","119.892533","32.25749","0.0","2024-08-02 11:45:46.0000","空车"
"苏MQ4501","泰州市公共交通有限公司","海陵区","3799264931","2021-02-09 00:00:00.0","1900-01-01 00:00:00.0","989","119.902586","32.461526","13.7","2024-08-02 16:08:27.0000","停运"
"苏MH3417","泰州市宏运出租车有限公司","海陵区","2465576748","2023-01-27 00:00:00.0","2023-01-21 00:00:00.0","799","119.890794","32.515912","23.0","2024-08-02 07:19:39.0000","载客"
"苏MY2771","泰州市顺达出租车有限公司","高港区","8055556030","2022-05-15 00:00:00.0","1900-01-01 00:00:00.0","71","119.910209","32.264191","0.0","2024-08-02 15:49:36.0000","交接班"
"苏MU4608","泰州市飞达出租车有限公司","海陵区","4921003983","2021-09-18 00:00:00.0","1900-01-01 00:00:00.0","257","119.931394","32.500285","49.5","2024-08-02 12:30:29.0000","空车"
"苏MQ1053","泰州市客运集团有限公司","泰兴市","8826851692","2023-12-11 00:00:00.0","1900-01-01 00:00:00.0","173","119.909067","33.004915","68.0","2024-08-02 07:28:15.0000","交接班"
"苏MU1651","泰州市客运集团有限公司","泰兴市","7784217828","2019-05-16 00:00:00.0","1900-01-01 00:00:00.0","873","120.183343","32.753811","0.0","2024-08-02 23:29:31.0000","空车"
"苏MU7543","泰州市苏中出租车有限公司","姜堰区","5492496998","2020-06-18 00:00:00.0","1900-01-01 00:00:00.0","405","120.086594","32.556386","0.0","2024-08-02 09:00:54.0000","载客"
"苏ME3621","泰州市公共交通有限公司","海陵区","8721631198","2023-09-13 00:00:00.0","1900-01-01 00:00:00.0","56","119.919048","32.519075","0.0","2024-08-02 16:17:52.0000","空车"
"苏MZ5920","泰州市顺达出租车有限公司","姜堰区","5151086814","2021-10-11 00:00:00.0","1900-01-01 00:00:00.0","531","120.082797","32.531551","9.1","2024-08-02 07:21:51.0000","停运"
"苏MH9279","泰州市银盾出租车有限公司","海陵区","5933179746","2023-08-09 00:00:00.0","2023-12-02 00:00:00.0","607","119.901537","32.479158","47.4","2024-08-02 16:19:30.0000","载客"
"苏MT1158","泰州市九龙出租车有限公司","高港区","5694628398","2022-12-07 00:00:00.0","1900-01-01 00:00:00.0","803","119.899078","32.270052","0.0","2024-08-02 08:40:46.0000","空车"
"苏MH2654","泰州市宏运出租车有限公司","高港区","8387664437","2022-09-11 00:00:00.0","1900-01-01 00:00:00.0","702","119.927837","32.299812","0.0","2024-08-02 18:47:46.0000","停运"
"苏MY8973","泰州市金鹰出租车有限公司","泰兴市","5877639950","2022-06-18 00:00:00.0","2024-05-10 00:00:00.0","134","120.085587","33.087582","22.3","2024-08-02 14:12:15.0000","载客"
"苏MV9666","泰州市金鹰出租车有限公司","海陵区","4405620755","2022-04-07 00:00:00.0","1900-01-01 00:00:00.0","287","119.904245","32.49999","0.0","2024-08-02 19:25:52.0000","空车"
"苏MB7596","泰州市客运集团有限公司","泰兴市","3952295757","2022-02-22 00:00:00.0","1900-01-01 00:00:00.0","15","119.816418","32.55797","0.0","2024-08-02 07:39:47.0000","空车"
