"车牌号","出租车公司","车型","设备编号","运营开始时间","运营结束时间","方向","GPS经度","GPS纬度","速度","GPS时间","运营状态"
"鲁HT**07","北城","悦动","64625128713","2004-03-01 00:00:00.0","2020-09-01 00:00:00.0","95","116.571748","35.409101","0.0","2022-06-01 00:00:00.0","空车"
"鲁HT**21","交运","新桑塔纳","64625128812","2016-11-15 00:00:00.0","2016-11-15 00:00:00.0","103","116.560401","35.414201","0.0","2022-06-01 00:00:00.0","空车"
"鲁HT**55","富达","新捷达","64625128516","2003-12-11 00:00:00.0","2020-06-30 00:00:00.0","52","116.440358","35.427673","0.0","2022-06-01 00:00:00.0","空车"
"鲁HT**90","众鑫","新捷达","64625128883","2016-11-24 00:00:00.0","2016-11-24 00:00:00.0","256","116.554695","35.389376","0.0","2022-06-01 00:00:00.0","载客"
"鲁HT**84","北城","新桑塔纳","64625128719","2004-04-01 00:00:00.0","2020-10-17 00:00:00.0","57","116.587075","35.391138","14.8","2022-06-01 00:00:00.0","空车"
"鲁HT**80","新交运","新捷达","64625129154","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","57","116.574068","35.390418","0.0","2022-06-01 00:00:00.0","载客"
"鲁HT**37","新交运","新捷达","64625129021","2016-11-25 00:00:00.0","2016-11-25 00:00:00.0","14","116.591218","35.414493","0.0","2022-06-01 00:00:00.0","载客"
"鲁HT**24","北城","新捷达","64625129129","2007-07-09 00:00:00.0","2023-06-01 00:00:00.0","142","116.568003","35.428031","0.0","2022-06-01 00:00:01.0","空车"
"鲁HT**27","新交运","新桑塔纳","64625128334","2016-11-18 00:00:00.0","2016-11-18 00:00:00.0","65","116.56822","35.382776","0.0","2022-06-01 00:00:01.0","载客"
"鲁HT**60","交运","新捷达","64626198288","2004-04-05 00:00:00.0","2020-10-04 00:00:00.0","92","116.618238","35.41423","0.1","2022-06-01 00:00:01.0","载客"
"鲁HT**68","北城","悦动","64625129220","2004-04-01 00:00:00.0","2020-10-01 00:00:00.0","94","116.592483","35.398861","0.0","2022-06-01 00:00:01.0","空车"
"鲁HT**18","联运","伊兰特","64625128312","2015-08-07 00:00:00.0","2021-08-06 00:00:00.0","96","116.681668","35.40752","0.0","2022-06-01 00:00:01.0","空车"
"鲁HT**37","富达","铃木启悦","64625128116","2015-10-13 00:00:00.0","2021-10-12 00:00:00.0","189","116.598541","35.383236","0.0","2022-06-01 00:00:01.0","空车"
"鲁HT**39","交运","新捷达","64625127883","2015-12-14 00:00:00.0","2021-12-13 00:00:00.0","288","116.611338","35.439946","0.0","2022-06-01 00:00:01.0","载客"
