"车牌号","所属公司","所属区域","设备","营运开始时间","营运结束时间","设备编号","GPS经度","GPS纬度","速度","GPS时间","营运状态"
"鲁HU8201","济宁交运","兖州区","3860762595","2013-03-04 00:00:00.0","2021-01-20 00:00:00.0","682","116.34743","35.146026","0.0","2022-06-01 07:49:21.0000","停运"
"鲁HQ8710","济宁联运","曲阜市","6148486655","2000-10-16 00:00:00.0","2013-12-20 00:00:00.0","173","116.127846","35.270339","0.0","2022-06-01 16:26:57.0000","空车"
"鲁HW7391","济宁出租","梁山县","6874572365","2007-08-24 00:00:00.0","1900-01-01 00:00:00.0","319","116.943703","35.352527","0.0","2022-06-01 08:19:47.0000","载客"
"鲁HD5343","济宁宏运","梁山县","5638070439","2002-05-09 00:00:00.0","2010-04-05 00:00:00.0","642","116.792913","35.480418","0.0","2022-06-01 17:31:46.0000","载客"
"鲁HP7022","济宁宏运","邹城市","8240850789","2013-09-10 00:00:00.0","1900-01-01 00:00:00.0","471","116.071004","35.586272","0.0","2022-06-01 22:00:42.0000","载客"
"鲁HW7391","济宁联运","兖州区","7100720973","2007-06-23 00:00:00.0","1900-01-01 00:00:00.0","597","116.47983","35.417943","0.0","2022-06-01 07:21:08.0000","停运"
"鲁HU5745","济宁华运","金乡县","7293840805","2006-12-15 00:00:00.0","2013-12-26 00:00:00.0","448","116.178385","35.23244","0.0","2022-06-01 06:41:45.0000","载客"
"鲁HX7065","济宁宏运","鱼台县","9461454365","2019-04-05 00:00:00.0","2021-08-26 00:00:00.0","740","116.00566","35.412365","79.2","2022-06-01 11:16:36.0000","空车"
"鲁HS2903","济宁华运","梁山县","5680186581","2015-03-22 00:00:00.0","2017-04-17 00:00:00.0","138","116.022853","35.032494","0.0","2022-06-01 22:00:41.0000","空车"
"鲁HY9066","济宁交运","鱼台县","2499330757","2002-04-24 00:00:00.0","2022-05-03 00:00:00.0","940","116.259646","35.337971","19.9","2022-06-01 16:50:25.0000","交接班"
"鲁HR2731","济宁华运","汶上县","9218435294","2003-09-16 00:00:00.0","1900-01-01 00:00:00.0","888","116.23917","35.024168","0.0","2022-06-01 07:26:17.0000","载客"
"鲁HQ6336","济宁公交","兖州区","7695984876","2020-04-11 00:00:00.0","2022-11-07 00:00:00.0","538","116.504134","35.306299","0.0","2022-06-01 22:08:12.0000","载客"
"鲁HA5498","济宁联运","邹城市","3884439937","2004-04-05 00:00:00.0","1900-01-01 00:00:00.0","391","116.286936","35.516495","0.0","2022-06-01 19:02:42.0000","空车"
"鲁HW9779","济宁交运","微山县","5478620413","2010-11-04 00:00:00.0","1900-01-01 00:00:00.0","210","116.847944","35.368463","0.0","2022-06-01 22:06:39.0000","载客"
"鲁HR6457","济宁新运","微山县","4379676828","2015-06-17 00:00:00.0","2017-08-16 00:00:00.0","546","116.481368","35.169015","20.3","2022-06-01 15:15:28.0000","停运"
"鲁HX5578","济宁通达","鱼台县","5380489633","2020-04-06 00:00:00.0","2020-05-08 00:00:00.0","455","116.644066","35.408178","0.0","2022-06-01 16:09:40.0000","空车"
"鲁HM3504","济宁交运","兖州区","4508589825","2005-04-02 00:00:00.0","2015-06-07 00:00:00.0","698","116.63327","35.443253","60.3","2022-06-01 20:32:24.0000","空车"
"鲁HR6950","济宁顺达","曲阜市","9687262202","2018-10-22 00:00:00.0","1900-01-01 00:00:00.0","787","116.423407","35.503807","0.0","2022-06-01 11:58:04.0000","空车"
"鲁HT7620","济宁华运","任城区","7444490190","2003-03-11 00:00:00.0","2011-04-07 00:00:00.0","779","116.694975","35.374972","0.0","2022-06-01 15:49:29.0000","空车"
"鲁HC4066","济宁华运","微山县","3689030188","2019-04-04 00:00:00.0","2022-02-22 00:00:00.0","770","116.692347","35.331595","15.0","2022-06-01 12:02:04.0000","载客"
"鲁HE2270","济宁华运","汶上县","8997877067","2005-02-28 00:00:00.0","2014-02-08 00:00:00.0","250","116.820974","35.320035","0.0","2022-06-01 19:42:56.0000","空车"
"鲁HV5311","鲁南出租","嘉祥县","5043569023","2008-02-25 00:00:00.0","2016-11-26 00:00:00.0","538","116.01411","35.550177","0.0","2022-06-01 16:23:58.0000","载客"
"鲁HS2903","济宁宏运","鱼台县","4971889633","2015-07-07 00:00:00.0","2015-09-24 00:00:00.0","689","116.073843","35.291299","25.1","2022-06-01 08:54:21.0000","空车"
"鲁HL9178","济宁新运","曲阜市","7161573862","2014-01-28 00:00:00.0","1900-01-01 00:00:00.0","881","116.579113","35.373827","25.7","2022-06-01 22:46:57.0000","空车"
"鲁HQ9930","济宁公交","曲阜市","1134154539","2019-10-10 00:00:00.0","2021-08-21 00:00:00.0","668","116.137876","35.278753","61.1","2022-06-01 09:42:46.0000","载客"
"鲁HA8407","济宁公交","兖州区","5128208369","2012-05-11 00:00:00.0","2020-12-09 00:00:00.0","694","116.865696","35.282717","0.0","2022-06-01 07:49:14.0000","空车"
"鲁HU8385","济宁华运","鱼台县","4919704943","2008-03-26 00:00:00.0","1900-01-01 00:00:00.0","111","116.671129","35.083258","0.0","2022-06-01 17:06:28.0000","停运"
"鲁HX6029","济宁公交","泗水县","4638584909","2013-11-02 00:00:00.0","1900-01-01 00:00:00.0","874","116.874082","35.549073","26.6","2022-06-01 10:20:59.0000","空车"
"鲁HG7064","济宁公交","泗水县","4598869344","2004-06-06 00:00:00.0","1900-01-01 00:00:00.0","423","116.67911","35.130731","0.0","2022-06-01 09:42:34.0000","载客"
"鲁HN5462","济宁交运","邹城市","9414810527","2009-05-10 00:00:00.0","2021-01-24 00:00:00.0","926","116.007707","35.302255","13.2","2022-06-01 19:26:46.0000","空车"
"鲁HB7656","济宁交运","微山县","7418718780","2018-02-07 00:00:00.0","2019-01-27 00:00:00.0","575","116.969361","35.175934","51.2","2022-06-01 22:56:28.0000","维修"
"鲁HX3512","济宁宏运","嘉祥县","8921303604","2016-09-12 00:00:00.0","1900-01-01 00:00:00.0","441","116.879232","35.003861","0.0","2022-06-01 07:11:50.0000","停运"
"鲁HP4925","济宁顺达","汶上县","2237242557","2005-04-10 00:00:00.0","2020-01-13 00:00:00.0","878","116.743445","35.378837","0.0","2022-06-01 06:54:44.0000","载客"
"鲁HR6950","济宁联运","曲阜市","5602028321","2002-04-12 00:00:00.0","2002-04-10 00:00:00.0","521","116.769431","35.481508","14.2","2022-06-01 10:31:50.0000","空车"
"鲁HX2402","鲁南出租","泗水县","8887558760","2003-11-07 00:00:00.0","1900-01-01 00:00:00.0","234","116.120423","35.512857","0.0","2022-06-01 04:54:48.0000","空车"
"鲁HC2212","济宁公交","任城区","7919676358","2013-11-19 00:00:00.0","2022-05-15 00:00:00.0","794","116.260586","35.187203","0.5","2022-06-01 07:26:18.0000","载客"
